Year,Month,Lease Payment,Interest Payment,Total Payment
2020,August,1965,2542.35,4507.35
2020,September,1965,2445.225,4410.225
2020,October,1965,2348.1,4313.099999999999
2020,November,7797,7295.654999999999,15092.655
2020,December,7797,6694.062,14491.061999999998
2021,January,7217,6092.468999999999,13309.469
2021,February,7217,5525.6759999999995,12742.676
2021,March,7217,4958.883,12175.883000000002
2021,April,7217,4392.09,11609.09
2021,May,7217,3825.2969999999996,11042.296999999999
2021,June,7217,3258.504,10475.504
2021,July,7217,2691.711,9908.711
2021,August,7217,2124.918,9341.918
2021,September,1385,1558.125,2943.125
2021,October,1385,1495.8,2880.8
2021,November,1385,1433.475,2818.475
2021,December,1385,1371.1499999999999,2756.1499999999996
2022,January,1385,1308.825,2693.825
2022,February,1385,1246.5,2631.5
2022,March,1385,1184.175,2569.175
2022,April,1385,1121.85,2506.85
2022,May,1385,1059.5249999999999,2444.5249999999996
2022,June,1385,997.1999999999999,2382.2
2022,July,1385,934.875,2319.875
2022,August,1385,872.55,2257.55
2022,September,1385,810.225,2195.225
2022,October,1385,747.9,2132.9
2022,November,1385,685.5749999999999,2070.575
2022,December,1385,623.25,2008.25
2023,January,1385,560.925,1945.925
